ID,시간,파일명,그룹ID,스티커유무,번호,색상,불량수준
1,2025-12-29 00:39:51,20251229_003916_048782_20240817_000116.jpg,1,O,102,초록색,정상
2,2025-12-29 00:39:56,20251229_003917_589988_20240817_000148.jpg,2,O,103,초록색,정상
3,2025-12-29 00:40:02,20251229_003919_150896_20240817_000227.jpg,3,O,104,초록색,정상
4,2025-12-29 00:40:07,20251229_003920_713129_20240817_000249.jpg,4,O,103,초록색,정상
5,2025-12-29 00:40:11,20251229_003922_266313_20240817_000336.jpg,5,O,169,노란색,경미한 불량
6,2025-12-29 00:40:16,20251229_003923_818408_20240817_000408.jpg,6,O,106,초록색,정상
7,2025-12-29 00:40:22,20251229_003925_378015_20240817_000444.jpg,7,O,107,초록색,정상
8,2025-12-29 00:40:27,20251229_003926_936089_20240817_000512.jpg,8,O,108,초록색,정상
9,2025-12-29 00:40:31,20251229_003928_486771_20240817_000625.jpg,9,O,109,초록색,정상
10,2025-12-29 00:40:36,20251229_003930_043138_20240817_000650.jpg,10,O,110,초록색,정상
11,2025-12-29 00:40:41,20251229_003931_586962_20240817_000717.jpg,11,O,111,초록색,정상
12,2025-12-29 00:40:46,20251229_003933_140574_20240817_000743.jpg,12,O,172,초록색,정상
